timestamp,model,prod,spot,memory_util
899.0,C,4,16,0.0
899.0,D,2,18,0.0
921.0,A,17,3,0.0
921.0,B,7,13,0.0
921.0,C,4,16,0.0
921.0,D,2,18,0.0
926.0,A,17,3,0.0
926.0,B,7,13,0.0
926.0,C,3,17,0.0
926.0,D,2,18,0.0
930.0,A,17,3,0.0008208034312619719
930.0,B,7,13,0.0008208034312619719
930.0,C,2,18,0.0008208034312619719
930.0,D,2,18,0.0008208034312619719
932.0,A,18,2,0.5880677785263939
932.0,B,7,13,0.5880677785263939
932.0,C,2,18,0.5880677785263939
932.0,D,2,18,0.5880677785263939
933.0,A,18,2,0.0
933.0,B,7,13,0.0
933.0,C,2,18,0.0
933.0,D,2,18,0.0
942.0,A,18,2,0.38995770370820415
942.0,B,7,13,0.38995770370820415
942.0,C,2,18,0.38995770370820415
942.0,D,2,18,0.38995770370820415
943.0,A,18,2,0.38995770370820415
943.0,B,7,13,0.38995770370820415
943.0,C,2,18,0.38995770370820415
943.0,D,2,18,0.38995770370820415
952.0,A,18,2,0.0
952.0,B,7,13,0.0
952.0,C,2,18,0.0
952.0,D,2,18,0.0
962.0,A,18,2,0.0
962.0,B,7,13,0.0
962.0,C,2,18,0.0
962.0,D,2,18,0.0
967.0,A,18,2,0.0
967.0,B,7,13,0.0
967.0,C,2,18,0.0
967.0,D,2,18,0.0
968.0,A,18,2,0.0
968.0,B,7,13,0.0
968.0,C,2,18,0.0
968.0,D,2,18,0.0
970.0,A,18,2,0.38995770370820415
970.0,B,7,13,0.38995770370820415
970.0,C,2,18,0.38995770370820415
970.0,D,2,18,0.38995770370820415
973.0,A,18,2,0.0
973.0,B,7,13,0.0
973.0,C,2,18,0.0
973.0,D,2,18,0.0
977.0,A,18,2,0.0016597370587967987
977.0,B,7,13,0.0016597370587967987
977.0,C,2,18,0.0016597370587967987
977.0,D,2,18,0.0016597370587967987
978.0,A,18,2,0.38995770370820415
978.0,B,7,13,0.38995770370820415
978.0,C,2,18,0.38995770370820415
978.0,D,2,18,0.38995770370820415
979.0,A,18,2,0.38995770370820415
979.0,B,7,13,0.38995770370820415
979.0,C,2,18,0.38995770370820415
979.0,D,2,18,0.38995770370820415
989.0,A,18,2,0.38995770370820415
989.0,B,7,13,0.38995770370820415
989.0,C,2,18,0.38995770370820415
989.0,D,2,18,0.38995770370820415
990.0,A,18,2,0.38995770370820415
990.0,B,7,13,0.38995770370820415
990.0,C,2,18,0.38995770370820415
990.0,D,2,18,0.38995770370820415
992.0,A,18,2,0.0
992.0,B,7,13,0.0
992.0,C,2,18,0.0
992.0,D,2,18,0.0
995.0,A,18,2,0.00028542785913019737
995.0,B,7,13,0.00028542785913019737
995.0,C,2,18,0.00028542785913019737
995.0,D,2,18,0.00028542785913019737
996.0,A,18,2,0.38995770370820415
996.0,B,7,13,0.38995770370820415
996.0,C,2,18,0.38995770370820415
996.0,D,2,18,0.38995770370820415
