request_id,completion_time,response_time,ttft,workload_type,utility,model_type
389,241.7279137800289,3.537488585716659,1.0180886518426178,prod,1,D
294,241.7430860924136,7.725238114081321,1.0135596215056353,dev,1,D
637,241.86663638103315,2.936212690175921,1.012321342146521,dev,1,D
637,241.8880834649236,3.8607246994515094,1.0159934624047935,dev,1,D
573,242.01688637828087,2.526886372645208,1.0190959750607647,prod,1,C
257,242.02348359555666,14.676775574505058,1.0209659130726152,prod,1,C
573,242.06000410761067,1.887589376410972,1.014377260500197,prod,1,C
637,242.19330423275045,6.931930655937805,1.0102848147019472,dev,1,D
637,242.19698780960448,1.055649256203651,1.0127554744522627,dev,1,D
257,242.2148208908403,11.160348736204185,1.0100338963195554,prod,1,C
224,242.430864284846,18.430864284845995,1.1262492751600917,prod,3,A
573,242.50627815505905,17.655478496089728,1.0159511691222178,prod,1,C
637,242.5435517555669,6.256429127010335,1.0160074708373372,dev,1,D
294,242.80509296632735,1.0620068739137594,1.019112706132887,dev,1,D
637,242.81526686685942,2.946893949183277,1.0123909533338633,dev,1,D
389,242.93902217462008,10.569546387659273,1.017385923215329,prod,1,D
573,242.9887155843837,3.4987155787480333,1.0202292880374841,prod,1,C
637,243.1212604591609,5.751857336697128,1.028773894305516,dev,1,D
637,243.1674052233943,6.547850430105342,1.0146387483301567,dev,1,D
294,243.2659228033229,9.121731988520821,1.0166351233526427,dev,1,D
294,243.48067914885831,10.792154279365946,1.0183417917854172,dev,1,D
107,243.55162653030328,16.649564784785753,4.925896514391525,prod,1,C
389,243.5824520626599,2.1240911929039896,1.0195386266774165,prod,1,D
573,243.62988290272173,3.457468171522038,1.010029501840478,prod,1,C
573,243.69950046368695,7.33532561471165,1.0100295548438964,prod,1,C
637,243.9505882384021,2.962589430476754,1.0173513997574446,dev,1,D
236,243.9597820110363,7.95978201103631,1.1726294406014404,prod,3,B
389,243.96703916962878,7.877784089614039,1.0159393119652407,prod,1,D
257,244.01687517137904,1.9933915758223861,1.010045681753894,prod,1,C
294,244.048758977919,10.715846139130406,1.0142812864671384,dev,1,D
573,244.1778688263582,3.667639532685058,1.0144023202979326,prod,1,C
637,244.20229015336045,1.0348849299661538,1.0177483963771579,dev,1,D
106,244.31718978961882,20.110635843927696,1.1270374307652276,prod,1,A
637,244.35635709813755,5.818772781484597,1.0147794213895622,dev,1,D
238,244.373866052425,6.373866052425001,1.0118744969701368,prod,3,D
637,244.42106941940412,6.032925228044434,1.0191161814036036,dev,1,D
637,244.52605077521736,3.931615321960635,1.9591685174934241,dev,1,D
637,244.6452071553507,5.664835723425654,1.0135429701930434,dev,1,D
257,244.6462452108082,9.072593756335266,1.0100293428301939,prod,1,C
637,244.71060635477454,3.978611403882269,1.016682999533998,dev,1,D
637,244.8778725238503,5.560075321003211,1.01030345097152,dev,1,D
573,245.02988160232522,7.9363040917857575,1.0100688153835904,prod,1,C
294,245.03560672448378,7.774366160608139,1.0125195895846275,dev,1,D
257,245.0408631759169,18.895619797479867,11.542377722945588,prod,1,C
294,245.06710229802545,3.463426641985052,1.0197963157209244,dev,1,D
637,245.21286624665794,5.5961609674220085,1.5113325700756093,dev,1,D
637,245.21461736204625,3.0176295524417753,1.0136793640817814,dev,1,D
637,245.4695408243648,2.6542739575053815,1.5511281979156024,dev,1,D
294,245.5171568462491,7.760506149656521,1.0173723322356807,dev,1,D
573,245.56401132283997,9.199836473864679,1.0170945171579433,prod,1,C
637,245.56711146825515,2.445851009094241,1.0109606806020963,dev,1,D
637,245.65290057587586,5.8381456091942425,1.0130594366275432,dev,1,D
257,245.80482808430932,8.127276744954969,7.373378226169137,prod,1,C
637,245.91855239080238,5.418875065860249,1.0162950078209292,dev,1,D
637,245.93882215746132,4.820814250378788,1.0153313195557416,dev,1,D
294,246.11630441278285,1.0806976882990682,1.0163561471056255,dev,1,D
294,246.2142946859691,2.1655357080501005,1.0180909041900748,dev,1,D
243,246.3685660949519,3.3685660949518876,1.0207485842195752,prod,3,D
637,246.37712830388438,1.1625109418381214,1.0123813546050542,dev,1,D
637,246.3807504492605,1.6701440944859485,1.016005092352799,dev,1,D
294,246.4480441487611,8.45614557042208,1.0173718725178276,dev,1,D
637,246.45406098132676,3.910509225759853,1.0192632386244327,dev,1,D
294,246.4694914256663,9.208250861790646,1.0201731408663477,dev,1,D
389,246.47580392708835,6.945576584524133,1.0180702839637092,prod,1,D
637,246.55942933726575,2.6088410988636497,1.0123828198735794,dev,1,D
294,246.7486669018673,8.381464861563558,1.0197627317810714,dev,1,D
294,246.75835510336412,12.740507125031854,1.486858909764294,dev,1,D
294,246.8130084430607,1.295851596811616,1.0170392167138118,dev,1,D
389,246.92613079704444,7.19360951772137,1.0180698983322714,prod,1,D
107,247.3316916558605,11.805023294116381,1.0100705903423943,prod,1,C
573,247.33463440300716,5.274630295396491,1.014341823694508,prod,1,C
257,247.36685796935024,11.793206514877312,1.0100328484335819,prod,1,C
637,247.48576167011493,5.292457437364476,1.0163029254315745,dev,1,D
294,247.4962508527811,9.093806458845506,1.2388399914190416,dev,1,D
294,247.67855188616247,1.2305077374013536,1.0167145544116067,dev,1,D
294,247.68345959699337,9.285503127361977,1.0188436231643152,dev,1,D
637,247.7205266186125,5.832443153688899,1.0122933059720367,dev,1,D
107,247.72450499773785,15.90661390903199,11.743782957475418,prod,1,C
637,247.7401974881034,3.537907334742954,1.0105760932974874,dev,1,D
389,247.7619047837076,4.1794527210476815,1.0166177770235265,prod,1,D
637,247.78486787028382,3.1396607149331146,1.0177418654746475,dev,1,D
107,247.82248364924135,11.837788237559607,1.010057337316681,prod,1,C
294,247.8625428226785,2.8269360981947216,1.0173879042764327,dev,1,D
637,247.87065659187505,3.5142994937374965,1.0184228505000874,dev,1,D
297,247.93014902256135,29.406041906938782,1.1347694714130796,prod,1,A
389,247.99789162965732,5.0588694550372395,1.0180770721677277,prod,1,D
294,248.00126573233769,10.244615035745113,1.0204311003388682,dev,1,D
637,248.03151116866388,3.6104417492597634,1.0173589664641725,dev,1,D
573,248.1092243790606,4.479341476338874,1.01758809152048,prod,1,C
573,248.28525387683024,16.136015392190075,1.0152536767683387,prod,1,C
